Iteration Number,Throughput
503.8902678728027, 5118.640970874136
466.3674240579694, 5114.017311174357
923.4906714439276, 5110.198141772323
1621.9492737011406, 5101.879700576244
1437.947841469455, 5106.72305465583
2561.339850559021, 5103.13135387771
2429.3513163429398, 5099.6189503894975
2592.9258077178038, 5095.178302154731
2933.2783688714208, 5091.213437659404
3306.976393668445, 5086.764626468324
3686.305022355109, 5077.810640816378
3633.986923448885, 5082.977014738671
4564.326740720879, 5078.671295370034
4616.010759070074, 5075.826265007687
4945.946107826598, 5084.454509831488
5759.829486633576, 5092.662778882486
5508.855224102232, 5087.808318739888
6516.060118591116, 5097.164974899181
6626.895916045751, 5092.09252526244
6743.7293442909195, 5102.9447720191065
7071.147266439313, 5107.988312884486
7308.177925725, 5112.833610525098
7788.869989785113, 5126.9991470956575
7659.027547813557, 5117.919909733074
7952.783084541637, 5122.102064351233
8329.92320399164, 5132.264944962049
8424.469275389978, 5135.913786434366
8519.009577914594, 5139.5381390377415
8681.386405859093, 5127.005600226388
8613.557572270836, 5143.195143466372
8708.113258458705, 5146.884799720259
8802.653560983317, 5150.509152323634
8897.209247171186, 5154.198808577521
8991.741857864172, 5157.79050935564
9086.274468557162, 5161.38221013376
9180.814771081778, 5165.006562737135
9275.36276543802, 5168.663567165766
9369.910759794258, 5172.320571594397
9464.4587541505, 5175.977576023028
9888.597887797974, 5206.68661767595
9559.006748506743, 5179.634580451659
9653.539359199733, 5183.226281229779
9748.071969892722, 5186.8179820078985
9842.604580585708, 5190.409682786018
9937.152574941947, 5194.0666872146485
10031.70056929819, 5197.723691643279
10126.233179991179, 5201.315392421399
10917.440803698215, 5207.955374314455
10642.416616800374, 5205.168307801564
11908.805020262227, 5212.047453713376
12812.904532948776, 5214.993008793661
12720.41193640966, 5210.592138774583
13082.092542599808, 5221.412590866242
13457.915435883724, 5225.98384640203
13924.248752905803, 5236.957580673361
13833.704677404281, 5230.412250202326
14659.256466678971, 5235.126357473608
14963.41249381854, 5238.33502722469
15944.30700181092, 5241.686406002239
16975.145971070742, 5242.9062827604785
16854.109083629985, 5240.432279077648
18028.47229696627, 5244.894695195918
18994.86312579202, 5246.187163278953
18942.582387210838, 5242.990005389339
19647.034574554942, 5250.645303562963
20130.1674542803, 5260.719373664108
19882.300782607104, 5255.102277710357
20382.819254891838, 5258.740623953127
20020.316965735838, 5244.432127671463
20302.703334333593, 5250.064567528059
20984.567542411445, 5261.258701619866
21522.386306826025, 5257.528774781497
22203.44894058357, 5254.273025005452
23095.339282739464, 5255.7064736701295
22903.061622816218, 5252.431824859093
24218.027346793853, 5271.40659521565
24871.800884026947, 5269.093325690926
25132.94711423532, 5272.938985109922
25475.113970912345, 5267.206775787266
26186.18884193607, 5260.795144646161
26130.24009028361, 5264.322531223019
27227.31535211014, 5259.488247094893
26863.681875334754, 5262.4722611252
27563.492408569793, 5250.423737605872
28220.087434695975, 5253.7750022162
28654.290830557482, 5250.507699442243
29208.264036361157, 5254.665506541353
29392.679195900033, 5260.186633357306
29539.348439874106, 5250.094251005565
